"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Fuller et al. (2007) Transcriptome analysis of human immune responses following live vaccine strain (LVS) Francisella tularensis vaccination. Mol. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694' target='_blank'>17349694</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"EIF3M"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"EIF3M"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IFNA10"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"IFNA10"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IFNA17"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"IFNA17"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD28"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"CD28"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD3E"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"CD3E"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD37"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"CD37"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD3G"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"CD3G"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD40"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"CD40"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FASLG"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"FASLG"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"KLRC3"	"gene expression"	"down"	"none"	"14"	"Days"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"2"	"121"	"KLRC3"	"hipciof_gene_17349694_121.txt"	"hipciof_gene_complete_17349694_121.txt"
